Invoice_ID,Vendor_Name,Department,Invoice_Date,Amount,GST,Quantity,Category,True_Anomaly,IQR_Outlier_Flag
INV200078,Vendor_030,Health,2024-01-13,10359.12,12.0,16,Vehicle Maintenance,1,0
INV103742,Vendor_031,Administration,2025-04-29,17481.48,5.0,5,Vehicle Maintenance,0,0
INV200068,Vendor_024,Water Supply,2025-04-17,21126.69,5.0,23,Electronics,1,0
INV105723,Vendor_039,Transport,2025-07-15,11991.82,5.0,33,Office Equipment,0,0
INV108987,Vendor_037,Transport,2024-07-12,13688.73,12.0,9,Construction Material,0,0
INV106522,Vendor_027,Water Supply,2025-08-13,21453.77,5.0,39,Medical Supplies,0,0
INV103149,Vendor_016,Transport,2025-09-16,70619.23,12.0,14,Cleaning Supplies,1,1
INV102876,Vendor_009,Transport,2024-02-06,10351.17,28.0,32,Fuel,0,0
INV105914,Vendor_025,Water Supply,2025-03-11,23053.62,12.0,7,Vehicle Maintenance,0,0
INV107744,Vendor_017,Sanitation,2025-02-11,15603.23,5.0,29,Cleaning Supplies,0,0
INV105700,Vendor_034,Health,2024-01-21,12049.43,5.0,6,Medical Supplies,0,0
INV104689,Vendor_004,Sanitation,2025-09-25,20995.16,12.0,4,Electronics,0,0
INV101780,Vendor_011,Transport,2025-10-05,11267.02,18.0,11,Construction Material,0,0
INV108904,Vendor_003,It & Electronics,2024-10-26,8663.59,28.0,49,Stationery,0,0
INV104359,Vendor_999,Public Works,2025-06-02,19212.9,12.0,48,Cleaning Supplies,1,0
INV107732,Vendor_025,Education,2024-11-26,13664.33,12.0,23,Furniture,0,0
INV103794,Vendor_004,Education,2025-01-20,17645.35,28.0,27,Construction Material,0,0
INV103370,Vendor_030,It & Electronics,2025-11-08,9797.3,28.0,9,Stationery,0,0
INV106013,Vendor_032,Public Works,2025-03-18,23710.65,12.0,40,Fuel,0,0
INV105803,Vendor_998,Transport,2024-02-23,11716.71,28.0,6,Fuel,1,0
INV108778,Vendor_006,Health,2025-02-16,10172.17,5.0,22,Cleaning Supplies,0,0
INV109077,Vendor_040,Sanitation,2025-09-29,14792.85,5.0,16,Vehicle Maintenance,0,0
INV103053,Vendor_024,Education,2025-07-18,15805.07,12.0,9,Vehicle Maintenance,0,0
INV103288,Vendor_011,Transport,2025-09-27,100931.76,28.0,7,Medical Supplies,1,1
INV102589,Vendor_014,Administration,2025-02-28,18403.05,12.0,17,Stationery,0,0
INV108057,Vendor_028,Education,2025-04-06,20632.17,35.0,6,Office Equipment,1,0
INV104587,Vendor_002,Administration,2025-12-07,19116.23,5.0,11,Fuel,0,0
INV100033,Vendor_014,Administration,2025-12-07,20672.52,12.0,48,Fuel,0,0
INV106388,Vendor_030,Administration,2024-10-07,116480.39,5.0,9,Software License,1,1
INV107194,Vendor_038,It & Electronics,2025-05-09,9543.4,28.0,40,Medical Supplies,0,0
INV108377,Vendor_034,Sanitation,2025-11-16,20656.48,5.0,1,Stationery,0,0
INV104816,Vendor_040,Health,2025-07-05,9417.23,28.0,27,Vehicle Maintenance,0,0
INV100900,Vendor_025,It & Electronics,2025-06-12,10233.09,28.0,1,Medical Supplies,0,0
INV100765,Vendor_032,Education,2024-05-12,19218.84,28.0,13,Electronics,0,0
INV107550,Vendor_024,Public Works,2024-06-29,22472.71,5.0,9,Furniture,0,0
INV100733,Vendor_030,Public Works,2025-01-04,18075.61,12.0,7,Stationery,0,0
INV105909,Vendor_039,Administration,2024-02-12,17829.38,5.0,9,Vehicle Maintenance,0,0
INV100568,Vendor_011,It & Electronics,2025-08-02,8865.78,28.0,13,Cleaning Supplies,0,0
INV101254,Vendor_006,Health,2024-05-13,8124.95,28.0,3,Office Equipment,0,0
INV109601,Vendor_018,Education,2024-11-28,12293.22,5.0,30,Construction Material,0,0
INV103615,Vendor_039,Transport,2025-10-22,12683.02,5.0,23,Furniture,0,0
INV108353,Vendor_002,It & Electronics,2025-04-27,4479.15,12.0,15,Office Equipment,0,0
INV105317,Vendor_007,Sanitation,2024-09-09,18457.37,18.0,44,Electronics,0,0
INV100039,Vendor_032,It & Electronics,2025-07-06,11372.4,12.0,14,Medical Supplies,0,0
INV109201,Vendor_007,Public Works,2025-06-15,22638.25,18.0,28,Cleaning Supplies,0,0
INV103392,Vendor_002,Sanitation,2024-01-12,20504.64,5.0,37,Stationery,0,0
INV105440,Vendor_017,Sanitation,2024-10-19,17058.15,28.0,49,Office Equipment,0,0
INV103928,Vendor_012,It & Electronics,2024-08-21,9660.0,28.0,9,Vehicle Maintenance,0,0
INV101413,Vendor_008,Water Supply,2024-05-19,19222.1,28.0,20,Fuel,0,0
INV105289,Vendor_004,Sanitation,2025-09-03,22847.11,28.0,43,Software License,0,0
INV109747,Vendor_017,Public Works,2025-08-22,17603.35,55.0,4,Software License,1,0
INV109160,Vendor_009,Water Supply,2024-03-02,21885.2,12.0,13,Software License,0,0
INV105181,Vendor_023,Education,2024-04-27,12851.93,18.0,39,Electronics,0,0
INV105123,Vendor_033,Sanitation,2024-08-02,23699.53,5.0,41,Fuel,0,0
INV106421,Vendor_012,Education,2025-04-28,16083.21,12.0,29,Stationery,0,0
INV109436,Vendor_014,Health,2024-02-02,14166.46,12.0,18,Cleaning Supplies,0,0
INV103126,Vendor_020,Sanitation,2024-12-09,9583.21,28.0,17,Medical Supplies,0,0
INV108840,Vendor_019,Administration,2025-05-15,14797.18,12.0,49,Furniture,0,0
INV101957,Vendor_014,It & Electronics,2025-10-08,7836.21,28.0,45,Stationery,0,0
INV108969,Vendor_013,Administration,2025-08-18,17148.35,18.0,17,Software License,0,0
INV101183,Vendor_010,It & Electronics,2025-08-10,7805.51,12.0,1,Construction Material,0,0
INV109103,Vendor_001,Sanitation,2024-06-16,30605.23,18.0,16,Cleaning Supplies,0,0
INV104347,Vendor_024,Water Supply,2024-03-27,19937.86,28.0,24,Office Equipment,0,0
INV100251,Vendor_021,Administration,2025-01-18,19527.81,12.0,37,Construction Material,0,0
INV101472,Vendor_039,Sanitation,2024-03-06,24954.39,28.0,14,Construction Material,0,0
INV106223,Vendor_038,Public Works,2025-10-11,20619.66,5.0,2,Construction Material,0,0
INV105357,Vendor_040,Education,2025-11-22,10771.31,18.0,13,Vehicle Maintenance,0,0
INV100096,Vendor_002,Education,2024-09-07,20458.56,28.0,11,Stationery,0,0
INV107808,Vendor_025,Education,2025-08-02,12683.94,12.0,48,Software License,0,0
INV104792,Vendor_002,Transport,2025-05-09,11533.27,28.0,6,Software License,0,0
INV106483,Vendor_018,It & Electronics,2024-02-14,7494.24,28.0,32,Electronics,0,0
INV104169,Vendor_036,Public Works,2024-03-21,22357.08,12.0,44,Software License,0,0
INV102392,Vendor_005,Education,2025-06-11,17575.2,28.0,18,Furniture,0,0
INV102444,Vendor_003,Public Works,2025-06-23,21820.59,5.0,22,Stationery,0,0
INV104884,Vendor_040,Water Supply,2025-02-22,20452.7,5.0,27,Software License,0,0
INV101608,Vendor_011,Sanitation,2024-01-29,11784.87,18.0,11,Stationery,0,0
INV100107,Vendor_010,Education,2025-01-27,15983.58,12.0,27,Medical Supplies,0,0
INV109877,Vendor_030,Public Works,2024-03-03,20376.65,5.0,39,Electronics,0,0
INV101217,Vendor_032,Education,2024-05-19,12484.95,5.0,30,Software License,0,0
INV107492,Vendor_022,Transport,2024-12-07,12189.85,28.0,40,Vehicle Maintenance,0,0
INV100303,Vendor_036,It & Electronics,2025-10-20,6741.6,18.0,44,Software License,0,0
INV109239,Vendor_030,Public Works,2025-06-10,19058.02,5.0,45,Stationery,0,0
INV102474,Vendor_040,Transport,2025-06-15,11606.71,18.0,46,Vehicle Maintenance,0,0
INV102335,Vendor_005,Health,2024-09-13,7618.18,12.0,25,Electronics,0,0
INV101071,Vendor_020,Public Works,2024-02-12,18704.54,18.0,9,Fuel,0,0
INV101512,Vendor_005,It & Electronics,2025-07-24,11040.42,5.0,17,Electronics,0,0
INV100169,Vendor_002,It & Electronics,2024-08-22,9577.15,5.0,32,Electronics,0,0
INV101626,Vendor_019,It & Electronics,2024-01-29,9391.65,12.0,7,Cleaning Supplies,0,0
INV106004,Vendor_038,Administration,2025-10-10,19849.16,5.0,39,Cleaning Supplies,0,0
INV105325,Vendor_033,Education,2025-11-02,14934.84,18.0,30,Electronics,0,0
INV100576,Vendor_021,Education,2024-10-23,19165.59,3.0,7,Construction Material,1,0
INV104047,Vendor_022,Education,2025-01-13,22666.73,5.0,42,Construction Material,0,0
INV108752,Vendor_029,Health,2025-09-08,13782.25,18.0,47,Electronics,0,0
INV108140,Vendor_037,Transport,2025-07-21,11221.0,18.0,30,Stationery,0,0
INV106145,Vendor_001,Education,2025-05-15,16269.1,18.0,30,Electronics,0,0
INV101650,Vendor_039,Transport,2024-08-30,11880.86,28.0,12,Office Equipment,0,0
INV107517,Vendor_030,Administration,2025-12-16,11630.16,12.0,7,Cleaning Supplies,0,0
INV101730,Vendor_040,Public Works,2024-07-12,22856.51,18.0,23,Office Equipment,0,0
INV108600,Vendor_028,Education,2024-08-10,15584.34,18.0,28,Fuel,0,0
INV107063,Vendor_006,Health,2024-12-12,13499.24,18.0,23,Software License,0,0
INV105284,Vendor_016,Health,2024-03-22,9959.02,5.0,35,Fuel,0,0
INV109729,Vendor_018,Transport,2024-07-09,9226.99,12.0,27,Medical Supplies,0,0
INV107740,Vendor_020,Public Works,2024-03-29,17323.78,5.0,6,Medical Supplies,0,0
INV200030,Vendor_006,Administration,2025-09-21,16400.09,18.0,45,Furniture,1,0
INV109023,Vendor_034,Transport,2024-12-08,12662.42,18.0,48,Software License,0,0
INV102191,Vendor_036,Health,2025-05-20,14216.25,5.0,43,Vehicle Maintenance,0,0
INV104151,Vendor_026,Health,2025-09-09,7668.87,12.0,31,Office Equipment,0,0
INV102973,Vendor_026,Water Supply,2024-11-06,20632.62,18.0,39,Furniture,0,0
