Invoice_ID,Vendor_Name,Invoice_Date,Amount,GST,Quantity,True_Anomaly,IQR_Outlier_Flag,Invoice_Month,Invoice_Weekday,Vendor_Frequency,Dept_Avg_Amount,Amount_Deviation,Category_Avg_Amount,Category_Amount_Deviation,Department_Administration,Department_Education,Department_Health,Department_It & Electronics,Department_Public Works,Department_Sanitation,Department_Transport,Department_Water Supply,Category_Cleaning Supplies,Category_Construction Material,Category_Electronics,Category_Fuel,Category_Furniture,Category_Medical Supplies,Category_Office Equipment,Category_Software License,Category_Stationery,Category_Vehicle Maintenance,GST_Category_Non-Standard,GST_Category_Standard,Amount_Category_High,Amount_Category_Low,Amount_Category_Medium,Amount_Category_Very High,Department,Category,GST_Category,Amount_Category,anomaly_raw_auto,Predicted_Anomaly_auto,anomaly_raw_informed,Predicted_Anomaly_informed,Risk_Score,Risk_Level
INV200078,Vendor_030,2024-01-13,10359.12,12.0,16,1,0,1,5,296,12426.504137658229,0.8336310747772522,19779.58168627451,0.5237279617085342,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,Health,Vehicle Maintenance,Standard,Medium,0.0602661679209894,0,0.0340760218505279,0,16.11,Low
INV103742,Vendor_031,2025-04-29,17481.48,5.0,5,0,0,4,1,262,20523.28511405445,0.8517876111377799,19779.58168627451,0.8838144444748691,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,Administration,Vehicle Maintenance,Standard,Medium,0.0754411444359724,0,0.049250998365511,0,9.73,Low
INV200068,Vendor_024,2025-04-17,21126.69,5.0,23,1,0,4,3,256,25426.145742496054,0.8309041493728974,19027.396498091603,1.1103300444766024,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,Water Supply,Electronics,Standard,High,0.0630445210681651,0,0.0368543749977036,0,14.94,Low
INV105723,Vendor_039,2025-07-15,11991.82,5.0,33,0,0,7,1,262,13887.667786688053,0.8634869572193176,19666.688681541586,0.6097528767644079,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,Transport,Office Equipment,Standard,Medium,0.0789210873751616,0,0.0527309413047002,0,8.27,Low
INV108987,Vendor_037,2024-07-12,13688.73,12.0,9,0,0,7,4,269,13887.667786688053,0.9856752199329868,18624.887284522705,0.7349698170455692,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,Transport,Construction Material,Standard,Medium,0.0662530944586273,0,0.0400629483881659,0,13.59,Low
INV106522,Vendor_027,2025-08-13,21453.77,5.0,39,0,0,8,2,257,25426.145742496054,0.843768073119442,19628.02992047714,1.093016980660812,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,Water Supply,Medical Supplies,Standard,High,0.0549246986973115,0,0.0287345526268501,0,18.35,Low
INV103149,Vendor_016,2025-09-16,70619.23,12.0,14,1,1,9,1,245,13887.667786688053,5.0850316327188985,20238.44245229008,3.4893609113684088,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,Transport,Cleaning Supplies,Standard,Very High,-0.0216827993347875,1,-0.047872945405249,1,50.54,Medium
INV102876,Vendor_009,2024-02-06,10351.17,28.0,32,0,0,2,1,258,13887.667786688053,0.7453497706736661,20822.788215010143,0.4971077788966965,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,Transport,Fuel,Standard,Medium,0.0559973398100115,0,0.02980719373955,0,17.9,Low
INV105914,Vendor_025,2025-03-11,23053.62,12.0,7,0,0,3,1,267,25426.145742496054,0.9066895247701374,19779.58168627451,1.165526165601238,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,Water Supply,Vehicle Maintenance,Standard,High,0.0533480193303376,0,0.0271578732598761,0,19.02,Low
INV107744,Vendor_017,2025-02-11,15603.23,5.0,29,0,0,2,1,219,23302.23803174604,0.669602206395059,20238.44245229008,0.7709699022927735,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,Sanitation,Cleaning Supplies,Standard,Medium,0.060884334552251,0,0.0346941884817896,0,15.85,Low
INV105700,Vendor_034,2024-01-21,12049.43,5.0,6,0,0,1,6,256,12426.504137658229,0.969655654278864,19628.02992047714,0.6138889154346209,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,Health,Medical Supplies,Standard,Medium,0.0444486224048759,0,0.0182584763344145,0,22.76,Low
INV104689,Vendor_004,2025-09-25,20995.16,12.0,4,0,0,9,3,249,23302.23803174604,0.9009932853401048,19027.396498091603,1.1034173804128042,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,Sanitation,Electronics,Standard,High,0.0406263778760229,0,0.0144362318055614,0,24.36,Low
INV101780,Vendor_011,2025-10-05,11267.02,18.0,11,0,0,10,6,243,13887.667786688053,0.8112967686914243,18624.887284522705,0.6049443321658597,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,Transport,Construction Material,Standard,Medium,0.0601322556595574,0,0.033942109589096,0,16.16,Low
